category,sub_category,price,image_url,addr_pr,slug,store,name
TELEPHONIE,Accessoires Téléphonie,"10,000 DT",http://www.mytek.tn/28556-large_default/coque-silicone-samsung-s6-edge-tunsie.jpg,http://www.mytek.tn/etuis-et-coques-tunisie/4696-coque-silicone-samsung-s6-edge-tunsie.html,,My Teck,COQUE SILICONE SAMSUNG S6 EDGE +
RESEAUX & SECURITE,Câbles,"24,000 DT",http://www.mytek.tn/28951-large_default/astrum-cable-vga-to-vga-10m-tunsie.jpg,http://www.mytek.tn/cables-video-tunisie/4527-astrum-cable-vga-to-vga-10m-tunsie.html,,My Teck,CABLE ASTRUM VGA TO VGA 10M
IMPRESSION,Consommables,"39,900 DT",http://www.mytek.tn/32722-large_default/cartouche-dencre-canon-dorigine-pg-510-noir-pg-510-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/6358-cartouche-dencre-canon-dorigine-pg-510-noir-pg-510-tunsie.html,,My Teck,Cartouche d'encre Canon d'origine PG-510 Noir PG-510
IMPRESSION,Consommables,"49,000 DT",http://www.mytek.tn/32720-large_default/cartouche-dencre-dorigine-canon-couleur-cl-511-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/6357-cartouche-dencre-dorigine-canon-couleur-cl-511-tunsie.html,,My Teck,Cartouche d'encre d'origine Canon Couleur CL-511
IMPRESSION,Consommables,"39,900 DT",http://www.mytek.tn/32340-large_default/cartouche-dencre-hp-21-noir-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/6258-cartouche-dencre-hp-21-noir-tunsie.html,,My Teck,Cartouche d'encre HP 21 Noir
IMPRESSION,Consommables,"79,000 DT",http://www.mytek.tn/31536-large_default/cartouche-dencre-hp-141-couleur-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/6020-cartouche-dencre-hp-141-couleur-tunsie.html,,My Teck,Cartouche d'Encre HP 141 Couleur
IMPRESSION,Consommables,"99,000 DT",http://www.mytek.tn/31497-large_default/cartouche-dencre-hp-45a-noir-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/6006-cartouche-dencre-hp-45a-noir-tunsie.html,,My Teck,cartouche d'encre HP 45A Noir - 51645AE
IMPRESSION,Consommables,"129,000 DT",http://www.mytek.tn/31519-large_default/cartouche-dencre-hp-135-couleur-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/6018-cartouche-dencre-hp-135-couleur-tunsie.html,,My Teck,Pack de 2 Cartouches d'Encre HP 135 Couleur
IMPRESSION,Consommables,"159,000 DT",http://www.mytek.tn/31501-large_default/cartouche-jet-dencre-hp-130-noir-lot-de-2-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/6008-cartouche-jet-dencre-hp-130-noir-lot-de-2-tunsie.html,,My Teck,Cartouche Jet d'Encre HP 130 Noir (lot de 2)
IMPRESSION,Consommables,"69,000 DT",http://www.mytek.tn/31506-large_default/cartouche-dencre-hp-140-noir-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/6012-cartouche-dencre-hp-140-noir-tunsie.html,,My Teck,Cartouche d'Encre HP 140 Noir
